"tipo_cultivo","tipo_suelo","metodo_riego","fertilizacion_utilizada","nivel_tecnificacion","volumen_agua","rendimiento_cultivo","eficiencia_agua","densidad_siembra"
"cacao","franco","aspersión","orgánica","medio",7057,1417,0.2008,3784
"cacao","arcilloso","aspersión","química","alto",7783,1563,0.2008,4468
"maíz","franco-arcilloso","gravedad","orgánica","medio",8149,8213,1.0079,3833
"sandía","franco","gravedad","orgánica","medio",8087,10009,1.2377,3912
"cacao","arenoso","goteo","orgánica","medio",8008,1225,0.153,4215
"arroz","franco","goteo","orgánica","medio",7544,7107,0.9421,3737
"maíz","franco","gravedad","química","medio",7729,9459,1.2238,3886
"banano","franco-arcilloso","goteo","mixta","bajo",7011,20446,2.9163,5556
"sandía","arcilloso","gravedad","química","bajo",7361,12990,1.7647,3108
"melón","arenoso","goteo","orgánica","bajo",8476,9240,1.0901,3618
"plátano verde","arcilloso","gravedad","mixta","alto",7494,23425,3.1258,4404
"banano","arenoso","aspersión","química","medio",6674,21592,3.2352,3131
"melón","franco","goteo","química","bajo",4497,12313,2.738,3205
"plátano verde","franco-arcilloso","gravedad","orgánica","bajo",6993,18827,2.6923,4781
"maíz","franco-arcilloso","aspersión","orgánica","bajo",5644,8608,1.5252,3048
"maíz","arenoso","gravedad","orgánica","medio",5969,7952,1.3322,4019
"melón","franco-arcilloso","gravedad","química","medio",6561,10813,1.6481,5002
"sandía","arcilloso","gravedad","orgánica","bajo",7275,11809,1.6232,3075
"sandía","franco-arcilloso","aspersión","mixta","medio",6461,13256,2.0517,3390
"cacao","arenoso","gravedad","orgánica","alto",6488,1520,0.2343,2986
"cacao","arenoso","gravedad","química","alto",7679,1626,0.2117,4635
"arroz","franco-arcilloso","goteo","química","bajo",7852,7341,0.9349,2551
"sandía","arenoso","aspersión","mixta","bajo",5039,8502,1.6872,2221
"melón","franco-arcilloso","goteo","mixta","medio",7970,10772,1.3516,2845
"banano","arenoso","goteo","química","medio",7586,28180,3.7147,2150
"banano","franco-arcilloso","goteo","orgánica","medio",5736,24908,4.3424,3234
"sandía","arcilloso","aspersión","mixta","bajo",6535,8880,1.3588,4696
"cacao","arcilloso","aspersión","orgánica","bajo",7278,1469,0.2018,5399
"banano","franco-arcilloso","aspersión","mixta","bajo",5525,24862,4.4999,3932
"plátano verde","franco","aspersión","orgánica","bajo",6849,19808,2.8921,3874
"arroz","arcilloso","gravedad","orgánica","medio",6420,9462,1.4738,4261
"plátano verde","arenoso","aspersión","mixta","medio",6934,24624,3.5512,2942
"maíz","franco","aspersión","orgánica","medio",6771,9472,1.3989,3831
"arroz","franco-arcilloso","aspersión","química","medio",7554,7887,1.0441,2914
"arroz","franco","goteo","mixta","medio",3999,7714,1.929,4066
"plátano verde","arenoso","gravedad","mixta","bajo",7527,22869,3.0383,4136
"melón","arenoso","aspersión","mixta","bajo",7881,9865,1.2517,3694
"banano","arcilloso","gravedad","mixta","alto",7950,23333,2.935,4314
"plátano verde","franco","goteo","orgánica","bajo",6517,19869,3.0488,3563
"banano","arenoso","aspersión","mixta","alto",6964,28206,4.0503,3918
"maíz","arenoso","aspersión","orgánica","medio",7035,11126,1.5815,3150
"arroz","franco","aspersión","mixta","bajo",8543,6706,0.785,4154
"sandía","franco-arcilloso","goteo","química","alto",4404,12476,2.8329,5138
"maíz","franco-arcilloso","gravedad","mixta","bajo",7457,9485,1.272,3824
"plátano verde","franco-arcilloso","goteo","química","alto",4231,23261,5.4978,3687
"sandía","arcilloso","gravedad","orgánica","medio",8609,12505,1.4525,2969
"maíz","franco","gravedad","química","medio",5921,8681,1.4661,2143
"sandía","arcilloso","gravedad","orgánica","alto",4645,12012,2.586,5028
"maíz","franco","goteo","orgánica","medio",8243,9055,1.0985,3460
"melón","arenoso","gravedad","química","medio",5192,9660,1.8606,4515
"banano","arcilloso","aspersión","orgánica","alto",9825,30303,3.0843,4379
"arroz","franco-arcilloso","aspersión","química","medio",6104,8606,1.4099,5060
"arroz","franco-arcilloso","gravedad","mixta","alto",7643,7836,1.0253,3566
"banano","arenoso","aspersión","orgánica","bajo",5700,23589,4.1384,3782
"banano","franco-arcilloso","goteo","orgánica","medio",5828,23414,4.0175,3447
"sandía","arenoso","goteo","química","medio",8303,9608,1.1572,4042
"plátano verde","franco-arcilloso","gravedad","mixta","medio",9838,22116,2.248,4383
"melón","franco-arcilloso","gravedad","química","alto",6464,9698,1.5003,4338
"maíz","franco-arcilloso","gravedad","química","medio",7233,8187,1.1319,5210
"sandía","arcilloso","goteo","mixta","medio",5900,12110,2.0525,4886
"sandía","arcilloso","aspersión","mixta","medio",7644,11154,1.4592,3283
"banano","franco-arcilloso","goteo","mixta","bajo",7238,19626,2.7115,5092
"maíz","arenoso","gravedad","orgánica","alto",9684,10564,1.0909,4074
"melón","franco","aspersión","química","medio",7212,9932,1.3771,3174
"plátano verde","arcilloso","aspersión","mixta","bajo",8376,18667,2.2286,4345
"maíz","franco-arcilloso","gravedad","química","medio",7823,8632,1.1034,3292
"melón","franco","goteo","orgánica","medio",5167,11849,2.2932,4772
"banano","arcilloso","gravedad","mixta","bajo",7643,21122,2.7636,4029
"arroz","franco-arcilloso","aspersión","mixta","bajo",6695,7965,1.1897,3214
"melón","arenoso","goteo","química","medio",6072,10798,1.7783,4599
"arroz","franco-arcilloso","goteo","mixta","bajo",6731,7462,1.1086,4557
"banano","arcilloso","aspersión","química","bajo",7682,25425,3.3097,5387
"plátano verde","arenoso","gravedad","mixta","bajo",6275,22471,3.581,3507
"banano","franco","aspersión","química","bajo",7201,22884,3.1779,5020
"cacao","arcilloso","gravedad","mixta","alto",7338,1563,0.213,3123
"sandía","franco","gravedad","orgánica","medio",5263,11674,2.2181,4707
"arroz","arenoso","aspersión","orgánica","medio",5718,6554,1.1462,3959
"maíz","franco-arcilloso","gravedad","química","bajo",10740,9206,0.8572,3887
"melón","arcilloso","goteo","química","medio",5708,11259,1.9725,2581
